"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
2087,1875,3403,1908,2188,2151
2062,1349,1456,1943,2006,1816
2838,2937,3709,2884,3133,3116
5493,4673,4376,5121,5559,5487
1461,1084,1187,1040,1377,1154
976,1000,575,894,1192,1058
1056,1134,705,1048,1285,1198
8012,7347,10422,8761,8425,8232
1605,1334,862,1448,1467,1450
6512,7046,8540,7806,7791,7357
1049,1040,1261,1029,1163,1123
919,822,631,771,944,882
833,862,556,790,925,893
974,917,575,875,1100,1036
811,824,695,751,869,888
780,790,454,701,841,843
765,783,547,725,863,864
721,801,389,684,881,867
911,844,454,713,900,883
868,976,631,869,989,996
1080,916,1113,1041,1109,989
1990,2235,2624,1872,2257,2100
4421,3353,4534,4231,4916,4628
2816,2903,2086,2373,2795,2818
3372,3166,3839,3967,4084,4039
3074,2669,2550,2885,3063,2872
2193,2536,1419,2026,2480,2552
1147,1226,1817,1229,1343,1203
4218,4552,2503,3136,4594,4659
5201,5627,4636,5412,5368,5392
2661,2706,4210,2827,2603,2600
3098,3725,3134,3635,3409,3472
5237,5304,5897,5607,5651,5703
1186,1217,918,1182,1251,1184
1044,1081,1521,1237,1377,1235
1238,1005,1669,1564,1332,1139
2173,1980,2949,2324,2488,2337
2213,1712,1817,1934,2184,2033
2613,2532,3913,2708,2759,2796
5729,6778,4849,6158,5607,5704
3442,3766,2717,3330,3285,3160
4370,4993,3162,3297,3781,3951
3088,2033,2921,2952,2654,2488
4945,5833,7510,6090,5239,5399
2579,2025,2058,2106,2505,2255
6121,5989,5916,6398,5955,5959
2118,2886,2466,2196,2524,2377
1233,1080,807,1074,1248,1143
1443,1351,1808,1451,1511,1345
3828,4703,2874,4097,3916,3946
2397,1936,2281,1954,2565,2209
4190,3318,4543,3580,4171,3554
4767,5821,4330,4531,5289,4823
3472,3281,6324,4330,3680,3717
6703,6669,5591,6516,6484,6721
5407,5309,6120,5008,6021,5883
4230,4516,4553,5207,4673,4854
7251,8048,7056,7530,7080,7656
2425,1960,3931,2001,2220,2203
3749,6142,4692,5665,4185,4463
1939,1606,3421,2376,1971,1803
5024,4815,5721,5398,5975,6069
3006,2473,3681,2758,2902,2739
2155,1897,2624,1975,2419,2397
1959,1628,2281,2191,2102,1926
1933,1365,1715,1663,2086,1869
865,860,668,803,903,870
1205,1184,1113,1208,1169,1179
2527,2052,2133,2097,2327,2468
1964,2033,1984,1967,2227,2285
1843,1410,1335,1448,1755,1848
3791,2640,2865,3172,3361,3391
3362,3559,2884,3812,3869,3380
1065,938,862,1031,997,949
1499,1289,1595,1545,1412,1377
1419,1708,1085,1522,1460,1492
5736,4661,5128,5184,5120,5281
6663,7391,9615,6512,6489,6818
2116,1753,1836,2007,2227,2052
4400,3504,3153,4811,5022,4325
1116,1099,946,1099,1290,1284
1651,1715,3922,1661,1998,1856
3913,5349,3709,3679,3504,3615
1570,1069,1038,1542,1533,1368
1031,869,751,940,1043,967
1114,1049,983,1069,1058,1012
4173,2546,4256,4050,3639,3722
2579,2469,2605,2834,2617,2713
3069,3286,3477,3094,3252,3410
1397,1265,1326,1266,1360,1299
2194,1711,2058,2465,2279,2164
4053,3231,3264,3857,3628,3716
1723,1336,1669,1548,1542,1444
1255,1088,1409,1670,1504,1383
6672,8468,5767,6805,6649,6794
4193,3791,4080,3782,3764,3723
1402,1572,1205,1475,1502,1561
1470,1331,1178,1333,1479,1455
4782,4155,3041,4513,4447,4880
1180,1173,742,1177,1392,1289
1627,1370,1317,1394,1422,1443
2907,2826,2262,2283,2791,2859
3554,3545,3941,3755,3526,3685
5977,5179,7093,4655,5546,5417
3161,2648,3403,2484,3132,3038
6076,5510,5109,5222,5873,5830
5932,4718,4135,8049,6307,5783
2367,1651,2160,2920,2704,2391
1642,1377,1187,1605,1800,1588
2187,2100,992,1912,2060,2003
5065,7305,5239,5244,5701,5755
10818,13128,10644,10491,10975,11239
4265,3455,6880,4595,3746,3635
10318,12096,9875,10183,10504,10624
4754,5063,4692,4373,5186,5230
3065,2755,4710,2866,3050,3108
2697,1813,5007,2139,2398,2221
6277,6167,7724,6517,6452,6138
8094,8520,8540,9404,9304,9746
9906,13710,8864,10025,10591,11125
7238,7816,7891,7497,7667,7850
6443,6699,7362,7479,7084,7096
3170,3224,4089,2091,2484,2651
1430,1526,2198,1680,1768,1586
4467,5353,3217,3661,4129,4506
4029,3378,4414,3900,3849,3949
2525,2313,2976,2713,2420,2399
4042,2807,3505,4063,3799,4078
12459,15989,10580,12105,13025,13882
11050,12694,10283,10953,11102,11251
5716,7563,5090,5669,5884,5993
1293,1102,1113,1065,1102,1157
1114,1126,1048,1020,1076,1079
5728,5063,5517,5769,5913,5897
1431,1483,1697,1380,1358,1424
1147,1154,1558,1092,1206,1197
5764,5025,4747,4655,5886,6520
1852,1680,4265,1857,1875,1962
2671,2578,2652,2130,2608,2730
9491,9801,8781,10208,10074,10545
1275,996,1261,1141,1221,1148
1417,1083,751,1196,1263,1289
3424,2721,3412,3225,3544,3579
1109,971,862,937,1098,1055
1221,977,1298,1132,1106,1081
1098,1063,1057,1114,1200,1241
1559,1475,1484,1311,1580,1605
6643,6127,4460,5669,6890,6891
1605,1402,2170,1459,1496,1473
2000,1489,3153,2144,1824,1729
2396,1927,2745,2390,2297,2208
12424,12675,13278,14040,11984,12104
5923,4400,7242,4646,5426,5476
1614,1251,1790,1266,1415,1332
6765,6831,6333,6724,6827,7001
5679,5612,5359,5525,5556,5715
4174,2307,2986,4079,3862,3686
8385,8434,8095,9268,8607,8372
8582,9047,8503,9795,8660,8638
7099,6771,7974,6607,6333,6631
3192,2624,4265,3281,3525,3525
6830,6963,5026,6339,6203,6050
8364,8984,8669,9706,8767,8882
2355,1797,1919,2817,2527,2338
1016,908,1437,1064,1128,1044
3690,2637,4590,2999,3481,3533
7315,9413,6583,8237,7998,8055
5256,6607,3060,5224,5737,5841
6221,5767,5628,6259,5277,5141
4719,5061,5971,3990,5222,5104
4198,3039,6694,3831,4119,3950
4263,3532,3764,4351,4639,4127
5602,4225,4460,5029,5186,5569
3852,3895,3088,3767,3837,3963
2175,1346,3523,1456,1598,1353
5648,4693,6194,4780,4768,5224
3346,2014,4618,3513,3828,2855
1231,1051,1187,1067,1266,1068
1320,1082,1159,1226,1265,1189
4838,4202,4794,5305,4788,4707
5014,6485,7677,6098,5372,5549
7857,7151,6426,7832,7566,7605
5136,4263,4729,5135,5147,5015
3637,3961,4043,4156,3622,3623
13747,17366,11433,14470,14014,14551
12660,13186,12647,12991,12798,12625
6857,7137,8317,8587,6875,6754
9419,11500,8734,9536,9668,9756
12664,15488,11674,13222,12387,12707
6353,8596,9782,5874,6047,5841
2615,3633,2986,2206,2898,2820
5494,8122,3486,6137,6743,7396
2508,1835,3310,3261,2494,2155
8013,6025,8911,8717,8151,7688
10261,11113,7288,9442,9393,9394
14741,15118,13027,13710,15127,14526
6899,7111,6481,6147,6966,7099
3357,3318,2170,3437,3243,3040
4544,5716,4710,4430,4841,4760
8433,10639,5508,8305,7640,7983
1064,1258,1094,1337,1323,1101
2159,1809,2429,1721,2003,1969
1017,951,705,989,1051,987
1112,1067,1196,1493,1521,1412
7296,7376,6351,8459,7234,7253
6208,7749,7631,5857,5866,5867
4239,4627,4219,3427,3753,3717
1294,982,927,1040,1073,1042
3855,5639,3421,3898,3650,3646
1304,1078,723,1200,1301,1203
4950,5585,3421,5776,5458,5990
1255,970,1261,1112,1435,1287
1179,1009,1168,1094,1262,1183
880,878,454,875,1016,962
848,821,454,875,986,956
935,898,510,819,974,951
1636,1611,1437,1488,1597,1495
3719,4385,2911,3820,3893,3989
1231,1102,1057,1190,1324,1287
895,959,974,1009,968,974
2753,2872,3069,3182,3036,3048
1199,1270,547,1095,1190,1215
2839,3491,2290,2912,3104,3012
1237,1392,788,1111,1413,1346
1366,962,909,1210,1252,1152
1335,1260,1456,1295,1758,1693
4059,3447,4469,4566,4427,4237
1870,1820,3217,2311,1952,1868
3192,4043,3588,3295,3143,3297
1769,2111,2272,2269,2022,1868
2872,2804,2420,3122,2838,2674
1840,1440,1493,1927,1760,1707
4087,3375,3357,3338,3922,3875
3670,4095,4516,4130,3939,4074
1805,1616,2003,1784,1872,1697
4274,3880,3959,4544,4458,4556
1653,2042,1530,1935,1926,1840
1196,988,1029,1169,1243,1144
947,928,770,818,901,900
2044,1481,1669,1817,1661,1697
1232,994,936,1112,1110,1135
1900,1605,2494,2208,1914,1828
1354,1171,1956,1975,1374,1262
1515,1258,1697,1508,1475,1454
2388,2506,2476,2643,2658,2628
1737,1489,2726,1675,1673,1740
1221,1549,2476,1243,1449,1378
802,847,566,777,850,841
785,869,733,765,853,856
1314,1220,1975,1691,1541,1486
5162,3148,3217,4054,4120,4245
8126,7854,6871,6861,8098,8817
4384,3861,4098,4720,4549,4511
5408,7265,5526,6066,6085,5468
7888,8072,8280,9087,7763,8092
4276,5368,4682,4416,4322,4213
4853,5321,6491,4681,5498,5428
1533,1734,1595,1796,1561,1586
4587,4417,5035,5292,4766,5144
1148,960,899,1375,1226,1177
1108,1343,1094,986,1163,1154
4248,3637,4766,4371,4079,3876
2454,2395,2494,2987,2713,2726
2018,2077,2902,2135,2076,2114
2242,2159,3885,3394,2541,2261
826,954,649,874,1032,948
1692,1761,1437,1636,1839,1915
3223,5244,3431,3723,3613,3869
1089,1031,1196,1016,1074,995
1250,1121,1372,1133,1307,1225
4731,3373,4534,3607,4205,4010
2232,2252,1530,1962,2067,2256
1709,2259,1854,1983,2188,2320
3396,3769,3310,3260,3337,3660
2254,2393,2466,2351,2560,2672
2203,2588,3486,2544,2569,2563
4707,5119,3412,4847,5142,5182
2695,2262,3106,2805,2427,2311
2144,1454,2337,1917,2024,1793
4344,9284,4302,5853,5012,4877
4357,3161,3755,4578,4832,4815
7101,5760,9077,6995,6507,6882
4753,6115,5378,5410,4550,4553
6765,5480,8354,7922,7096,6735
5998,6549,5016,5576,5584,6055
1220,1057,1752,1166,1197,1236
1078,930,1344,920,1069,1007
3705,3457,2921,3445,3481,3387
3863,3709,3273,3212,4240,4109
4024,3076,5461,4060,4611,4313
1837,1591,2772,2013,1976,1811
2519,2135,2967,2153,2376,2409
3643,3192,5100,3886,3756,3545
1862,1643,2096,1828,1917,1828
7178,6933,7093,6779,7147,7251
8766,7857,5675,6269,7508,7649
3172,4053,3459,3068,2984,2868
1357,1327,1901,2331,1545,1532
1794,1520,2401,1524,1631,1622
4919,5177,5202,4971,4913,4842
2555,2010,2346,2016,2472,2233
4220,3418,4172,4743,3928,3956
9305,8059,7408,8393,8299,8764
10247,13083,9513,10063,9519,9897
4361,3851,3829,3919,4014,4116
3866,3635,3598,4004,4155,4063
2099,2283,2707,1924,2054,2053
2084,1886,2615,1722,1952,2116
1399,1179,1335,1252,1226,1270
1051,963,695,869,982,1044
2089,1452,1613,1540,1739,1656
4123,3413,4553,4632,3762,3741
7897,5320,8892,6185,8029,6766
2856,2081,3764,2400,2760,2600
8861,8582,7362,8796,7997,8067
8397,7133,9040,8857,8356,8395
2027,1559,4469,2600,1936,1905
3499,2855,4108,3446,3663,3495
5114,5832,5016,4911,4856,4959
1966,1706,3106,2296,2147,1939
957,943,668,734,986,967
1756,1494,1604,1671,1629,1693
1809,1386,2819,1561,1744,1645
4996,6188,3718,4787,4787,5057
1678,1290,3217,1589,1726,1624
1257,1057,2003,1558,1423,1328
1224,1254,1465,1519,1475,1462
7220,5627,4478,6665,6821,7005
3996,4503,2874,2776,3310,3578
1866,2435,2262,1472,1972,2136
1076,1138,1187,1051,1185,1180
2967,2473,3421,2943,3364,3011
4811,3408,2559,3807,3570,3576
4292,4063,4228,4621,3667,3753
3780,2722,3505,3719,3548,3209
2943,2315,1892,2689,2554,2449
7318,5325,7854,6488,7603,7298
4454,3584,6453,4485,4739,4318
10457,10066,8243,9871,9996,10152
2076,2023,2689,1864,2132,1994
6328,7586,7492,6776,6854,6597
8240,6690,9152,8061,8981,8776
1756,1919,1511,1607,1786,1646
3483,2984,4423,3448,3341,3170
1799,2146,1817,1633,2047,2170
5793,6404,6277,5510,5789,5512
1935,2241,2225,1765,1881,1859
2336,2033,2967,2434,2431,2287
4133,3956,3616,4439,3874,3857
2631,3768,2429,2818,2990,3264
2073,1547,1808,1587,2059,1798
2540,1792,2754,2088,2298,2187
3290,4197,2522,3480,3211,3219
9235,8956,9587,8902,8614,8641
2335,2973,1780,1750,2164,2221
7969,8703,8855,8786,8374,8841
2587,3167,1938,2561,2672,2717
1902,1146,1196,1167,1500,1525
3065,2530,4590,2825,2733,2782
4353,5744,4274,5301,4413,4285
1176,1109,834,1096,1342,1295
934,949,723,893,1076,1012
2140,2509,1706,2383,2386,2377
2125,1703,2494,1926,2190,1981
1006,886,510,892,1030,1014
1016,931,964,972,1027,1023
3879,3490,4061,3234,3900,3975
1045,967,946,927,1044,1057
1605,1254,2031,1802,1561,1409
1641,1498,1474,1694,1739,1644
2730,2983,4154,3141,3286,3145
1606,1412,1168,1689,1876,1839
1638,1076,4840,1308,1368,1250
1811,1443,1752,1296,1547,1401
1472,1041,964,1304,1195,1189
1118,967,1706,998,1127,1052
1828,1611,1372,1595,1793,1824
4246,5101,3616,3894,4181,4198
2910,3150,1539,2715,2941,3033
1130,938,714,904,1082,1058
4079,3865,3366,3055,3673,3804
2100,1798,2874,2221,2233,2062
6786,4920,6500,7279,6862,6847
3539,1897,2763,3280,2445,2205
3017,2178,2911,2719,2639,2703
3317,4286,4673,3224,3683,3687
2278,2565,3115,2395,2411,2435
7253,9992,8076,7975,7447,7919
10127,12570,8929,10482,10121,10205
10175,10711,7752,10143,10166,10234
4616,4329,3394,4513,4520,4621
5592,4750,7167,6429,5605,5524
4731,4392,3700,4334,4787,4852
5603,9146,4358,5857,6046,6546
3004,2760,4692,2990,3256,2947
936,977,593,921,1097,976
1114,1083,1604,1745,1482,1244
2019,1548,2466,1518,1723,1596
5563,4392,4831,4836,4970,4953
1083,1104,974,1005,1183,1126
3304,2104,2364,2654,2958,2676
2002,1116,1196,1551,1808,1596
4578,5129,3625,5164,5088,4995
3875,3872,3829,3929,4658,4852
1537,1261,1168,1376,1528,1394
953,906,760,842,1031,931
2025,1661,1938,1777,2010,1947
3175,2720,2003,2207,3162,3324
1911,1555,1762,1895,1764,1732
3837,5131,3375,4219,4180,4387
1981,1362,1808,1769,1830,1824
910,942,955,1008,1091,1014
1162,1193,1001,1246,1220,1206
4195,3585,5981,4399,4234,4079
4555,6266,6185,5424,5523,5533
6172,6321,7557,6424,6295,6206
3881,2888,5063,4697,3980,3756
2778,2716,2828,3177,3609,3558
2417,1831,2401,2089,2115,2182
3938,3162,3737,4703,3438,3392
3954,3308,3551,3275,3473,3274
1107,1010,1103,871,1060,1005
1752,1646,1354,1806,1638,1699
2701,2828,3672,2723,3281,2803
6482,4830,7548,6760,6110,6088
9775,10812,9485,11483,10246,10611
2648,2218,2930,2642,2380,2310
3437,4223,3551,3128,3643,3346
906,971,760,853,1078,1027
890,905,547,770,993,974
1051,1143,1289,1059,1226,1175
3355,2374,5749,3503,3659,3496
10319,11535,10255,10077,10822,11253
5805,5368,5378,7176,5892,5735
4174,3674,5591,4608,4138,4056
5003,3813,6732,5813,4636,4818
5583,5006,9903,8090,6225,5484
2756,3445,2550,3432,3544,3476
3829,2355,2587,1952,2590,2660
1875,1295,1567,1741,1680,1510
951,1019,844,898,1050,1109
3627,3162,4024,3303,3708,3726
3078,3569,2281,3391,3229,3186
2345,1992,3255,2233,2338,2238
6861,5696,8567,6838,6211,6441
1677,2061,1947,1727,2101,1885
871,900,834,757,894,947
1000,1058,1382,1134,1067,1099
915,941,714,906,1001,978
6055,5083,7112,6786,6147,5906
5631,6889,5081,5613,5644,6015
3565,3290,3023,3829,3728,3847
5013,2224,6750,3531,3303,3079
4294,3195,2791,3281,3375,3614
14077,14688,13398,14256,13871,14071
5169,6337,3486,5014,5345,5392
1689,1383,1539,1503,1594,1414
3658,4132,2893,3433,3228,3298
4301,4268,5591,5638,4919,4730
6530,6154,4979,5515,6145,6302
5067,5245,6185,4853,5565,5579
5789,6535,7891,7465,6260,6130
5698,5506,5739,4995,5472,5582
1235,1176,1317,1304,1321,1261
1131,1151,742,1122,1294,1259
2499,2292,2986,2466,2684,2624
1498,1365,1261,1888,1734,1667
1625,1193,1697,1831,1765,1702
1465,1200,1252,1439,1389,1283
12182,11536,12174,12093,12620,12049
8880,7267,9356,8507,8964,8665
1533,1477,1446,1640,1416,1446
3817,4229,3347,4405,4114,4120
2944,2649,3570,2902,3179,3021
6858,7126,6333,6996,6679,6645
1187,1134,733,1137,1222,1267
4873,4934,3523,4377,4811,4962
4246,1850,2689,2250,2744,2397
1125,1007,473,935,1109,1066
1597,1890,797,1273,1400,1556
1518,1476,1400,1701,1796,1683
2998,2788,6101,3665,3417,3259
1671,1735,1910,1806,1738,1727
1719,1536,1400,1681,1694,1734
2273,1807,1715,2138,1941,1998
2160,2002,1530,2884,2396,2343
1871,1772,2828,2010,1924,1837
2638,2617,5118,4092,2828,2719
3238,3203,4988,4160,3257,3369
6391,3969,9328,7749,6019,5422
3354,2530,4516,3889,3192,2952
1529,1888,1419,1658,1853,1803
2471,2611,1650,2753,2825,2843
949,1035,946,1062,1182,1061
2301,2218,1892,2231,2524,2336
4070,3219,3792,3888,4128,3896
4800,2675,2828,2630,3770,3912
975,1016,677,976,985,996
1982,1410,2364,2313,2255,2038
3464,3271,3978,3155,3254,3372
1748,1623,1502,2228,1748,1603
1177,1153,5637,1700,1173,1192
4835,3648,5100,4864,4414,4148
2307,1963,2865,2694,2257,2233
2989,3611,2225,3014,2871,2973
1282,1147,974,1199,1237,1263
1144,1250,1205,1430,1354,1316
1656,1395,1752,1596,1548,1554
3566,2576,4553,2600,2955,2990
9222,8146,9115,9046,9031,8904
5911,6444,4543,6231,5844,5877
984,904,1502,880,997,961
985,898,1576,893,989,986
1010,858,974,950,1032,922
2489,2106,2670,2572,2470,2427
846,912,501,758,884,926
878,880,1011,837,952,889
2364,2860,1650,2285,2579,2565
1547,1377,1669,1591,1456,1465
1971,1565,2911,2327,2099,1987
2249,2102,3227,2816,2377,2362
2887,3681,5369,3194,3306,3041
8778,9135,8150,9207,8682,9003
3623,3896,4803,3809,3605,3711
2445,2191,2272,2196,2339,2326
3785,2392,3208,2702,2935,2978
3839,2816,3857,3857,3574,3623
2374,1887,3097,2494,2287,2248
7661,9206,7501,8028,8443,8207
7786,9325,9828,10174,8458,8377
6098,5864,6351,6434,6611,6493
2111,1784,2911,1983,2075,2099
1911,1657,1660,2010,1991,1869
1927,1387,1103,1534,1651,1859
3069,2622,2188,2878,3322,3509
1348,1311,816,1249,1357,1371
1962,1785,1882,1992,2015,2009
4580,3470,5220,4674,4353,4329
1455,1355,1001,1692,1398,1358
1199,1020,686,1248,1345,1285
1196,982,890,974,979,1008
978,924,751,851,921,974
814,840,686,678,862,862
840,935,482,840,928,958
2023,1620,1817,1813,1878,1799
3210,4018,4618,3661,3346,3339
4705,5402,5202,5530,5212,5372
5407,4481,6185,4905,4678,4707
2822,1749,2058,2956,2741,2439
3089,1704,2133,2613,3258,2872
2434,2170,2605,1841,2083,1938
7664,9248,8076,9801,8222,7941
6860,6192,8669,7589,6810,6902
7581,10472,7872,8192,7371,7530
1947,2363,1790,1914,2138,2256
7407,4510,3672,6334,7178,6848
1486,1415,2680,1862,1791,1461
2358,2355,2383,2128,2122,2210
1906,1835,2244,2054,1820,1848
1411,1360,983,1423,1405,1417
1621,1757,1762,1937,1771,1774
5350,5576,3579,5514,5421,5647
2487,2454,3514,2941,2589,2647
2210,2186,2439,2591,2367,2263
1412,1195,668,1205,1465,1332
1059,981,584,895,1057,1053
2060,1694,5767,2733,2295,2176
2804,2849,5415,4083,3710,3618
6321,5756,8299,7112,6804,6526
7005,7895,7204,7725,7402,7127
3545,2712,5026,3857,4292,3712
16065,15740,14910,15306,15231,15150
15573,15928,13287,14920,15706,15824
2795,1548,1697,2201,2364,2179
3797,3271,5202,3991,3703,3439
2185,1619,4395,2141,2237,2129
5867,4950,5471,4769,5939,5741
3645,4125,2522,3271,3529,3638
4605,4849,5183,4714,4994,4866
4640,2866,3894,3972,4418,4056
3072,2891,4655,2694,3000,3036
1504,1107,1113,1001,1296,1198
1101,898,881,821,1049,988
1011,926,547,754,1048,1001
2950,2632,1947,1971,2796,2659
1314,1147,1836,1654,1496,1397
3467,3712,3625,3023,3680,3683
5252,4963,3561,4023,4215,4385
1934,1398,1326,2327,2180,1996
1722,2032,2429,1777,2398,2261
4957,3887,3866,3861,4797,4603
4499,4172,4024,4828,4574,4470
4195,3102,4367,4471,4193,4237
2149,1994,1966,2107,2255,2163
3327,3846,2420,3673,3068,3402
1683,1654,2049,1659,2078,1969
1033,895,890,899,1106,1030
1412,1265,1641,1501,1486,1646
2169,2234,1650,1882,2234,2343
5568,5699,4636,5747,5527,5704
1353,1028,992,1051,1333,1293
1242,1113,909,1042,1226,1285
975,1059,566,841,1013,1041
1284,1266,992,1306,1341,1339
2371,2265,2068,2217,2397,2293
7936,7576,7807,7208,7647,7761
11447,12836,10505,12643,11768,12080
6342,5695,5183,7046,6845,7005
5989,4964,6713,6302,6292,5945
5095,5164,4580,5105,4910,5230
5095,5391,3904,5197,5120,5168
4455,5548,3904,5394,4779,4775
5876,8937,5452,5709,5847,5832
1238,1067,1094,1340,1325,1267
1868,4292,1752,1765,2411,2890
5445,7588,3208,4163,5512,6124
6192,6681,6871,5858,6490,6346
5510,6083,6815,6942,5534,5567
2380,2541,3069,2620,2540,2558
2078,1821,1790,2298,2072,1870
931,942,677,906,1034,1010
4422,3912,4015,4036,4144,4540
3423,2382,1854,3407,2858,2920
5201,6372,4191,8026,5603,5777
3906,3704,3681,3593,4391,4769
2460,2789,2281,2210,2502,2552
3807,2888,3876,2854,3314,3399
3033,2803,3347,2947,3169,3278
2748,2807,2466,2678,2723,2957
6384,5180,8354,7968,6864,6764
3880,2786,3598,3291,3474,3349
5427,4614,4451,5176,4805,4676
4114,3059,4117,3538,3771,3631
10066,8431,10227,9995,10163,10005
5353,4163,8336,6170,5952,5488
5172,5598,5183,5723,5490,5349
6422,9086,6314,7201,7481,7895
2229,1933,2958,2477,2479,2305
2200,1961,2782,2163,2249,2225
4230,4106,4414,3757,4183,4164
1097,910,955,989,1041,1014
1044,902,936,972,953,957
2960,2365,3051,2897,2865,2796
5044,5856,5359,5279,5175,5331
2076,2728,2198,2011,2334,2447
9096,12737,6880,11465,9297,9542
5538,6264,3051,5569,4928,4809
6767,9165,8669,6904,7099,7251
4036,3829,3746,4097,4355,4575
4693,6518,3885,4988,4846,5041
8272,10859,6908,7678,8611,8728
8311,8549,7473,7415,8274,8298
5790,5411,6852,6723,6704,6340
1640,1153,1344,1307,1624,1467
1886,1582,1947,1645,2111,2032
2921,2465,4441,3177,2892,2545
1026,1328,1140,1274,1321,1227
1180,1204,1066,1314,1347,1206
4760,3476,4655,3939,4377,4175
8870,9337,6342,8979,8672,8649
3847,4036,3496,3831,4397,4384
5612,6552,6268,5755,6492,6605
7321,8269,6370,7156,7922,7520
4928,3942,4840,4268,4692,4895
4580,4945,5563,4248,4513,4472
12179,13836,14919,13437,12424,12388
14282,15927,12193,14427,14011,14174
11442,11514,11303,11560,11600,11733
7478,8190,10162,8689,8268,8556
5413,5384,6824,6251,5640,5400
4868,3021,5128,4070,4637,4387
12300,11665,12276,9136,11340,11340
7113,5962,5369,6433,6725,7024
3367,2375,3663,2699,2986,2854
17431,15920,16467,16949,17972,17394
17546,17778,15086,18426,17031,17008
3070,2724,3496,3706,3229,3034
1367,1464,1400,1245,1467,1374
8552,10231,8419,8301,8373,8552
4576,6005,3440,4087,4050,4413
10038,13154,11275,10507,11535,11849
4685,3527,4766,3660,4122,3901
2319,1876,4951,2265,2351,2136
1425,1121,1113,1125,1308,1208
969,921,1011,955,944,977
1195,1124,1623,1400,1551,1301
4782,3843,6491,6007,5056,4998
7669,5690,10042,7235,7381,7603
4739,4272,6277,4599,4714,4852
5246,4348,5072,6133,5298,5027
4682,4236,5035,4002,4884,4907
2254,2569,2235,1942,2225,2254
3486,4068,4237,3591,4131,3937
2604,2809,6101,3238,3414,2991
2321,1930,1882,2401,2093,2089
2438,1934,1530,3091,2485,2504
3943,2006,3514,3040,3088,2851
2650,2044,2791,2632,2697,2512
2535,2023,1771,2383,2385,2346
6162,6898,5229,5997,6660,6591
1946,2745,2142,2089,2435,2288
3111,3327,4135,2885,3127,3359
2994,2922,2670,2895,3057,3112
4205,4952,4441,3872,4260,4597
4246,4022,5257,3966,4386,4545
3483,2800,3598,3183,2985,2992
3312,3172,3663,3532,3320,3274
5724,5616,4877,6873,6411,6618
2555,2619,3672,2014,2486,2403
5262,3669,10227,6627,4937,4917
3542,3446,5767,3376,3887,3875
1073,918,1567,881,1066,1025
5229,4852,5563,5600,5524,5324
4352,3422,3904,3754,4135,3976
2669,2036,1697,2935,2296,2280
2149,1683,1289,1816,1771,1803
1249,1194,1344,1246,1555,1441
846,904,658,886,927,943
890,848,927,1088,1016,924
1134,1052,566,1019,1117,1103
1852,1479,992,1410,1729,1713
3170,2640,3069,3225,3410,3048
4809,5678,4469,5010,5317,5414
5522,4208,3959,4047,4219,4222
3887,2605,3523,2855,3425,3508
3036,2346,2689,2687,2805,2796
4098,4466,4766,4663,4219,4173
1988,2181,2587,1917,1964,2039
1377,1664,955,1651,1632,1732
1531,2305,862,1833,1864,1826
2238,2992,2949,3082,2781,2862
5305,6834,4645,5578,5627,5704
8048,10071,7047,8106,8566,8884
6077,6128,5906,5465,6022,5702
11053,9723,6101,8617,8034,8520
8007,10529,7427,8429,8614,8621
3657,3701,4284,3852,3685,3642
6985,6659,6546,5518,5774,5879
1731,2093,2550,1886,2188,2061
5513,7153,6231,8526,5781,5903
3877,3752,6212,3768,4033,3648
6666,6315,6481,7222,6640,6896
1118,1088,983,1136,1268,1266
1097,1069,677,1097,1204,1189
1362,1212,612,1228,1297,1272
5086,4688,4265,5663,5654,5289
1472,1804,881,1515,1705,1600
6299,4812,5990,5242,5662,5964
4601,5535,4098,5619,5494,5416
3890,4026,4534,3984,3919,4056
1281,1227,1048,1285,1300,1310
3304,2490,4979,3684,3382,3112
3489,3075,3403,3606,3542,3549
5858,5825,5739,6882,5699,5646
4603,5876,2624,2701,4001,4510
7201,7039,7381,7814,7463,7152
8189,7770,7353,7361,7614,7695
8270,8720,8401,8332,8558,8527
2848,2716,2652,3149,2918,2784
5172,5796,4284,4998,5132,5119
7505,7077,6565,7023,7241,7286
6396,5810,6973,6510,6210,6089
10384,10895,11154,10717,10711,10771
13866,13014,13074,14258,11569,11564
3706,4411,3755,3671,3862,3933
2369,1217,1632,1616,1647,1629
1246,1101,1001,1071,1389,1341
1656,1809,2012,2067,1734,1750
1665,1269,1530,1630,1578,1434
3364,3432,3329,3495,3532,3699
11353,15199,10839,10839,10989,11428
3030,1856,2605,1749,2069,1881
8983,11595,8234,8516,8361,8144
6728,8994,5545,8080,6723,6596
6558,6378,5767,8352,6800,6853
1065,1025,566,930,1033,1053
2807,2980,2643,2667,3430,3408
3418,2413,3700,3034,3331,3156
3990,2559,4376,4306,3314,3163
6272,5231,6908,6602,6209,6163
2296,1663,2531,2272,2112,1881
5748,6218,5313,8305,6288,6088
7408,6969,6045,5274,6020,6080
2523,2040,3523,2211,3033,2468
6316,5769,5860,5991,5942,5968
6645,6480,7353,7651,6821,6797
2076,3333,3041,1980,2325,2421
3674,4396,4451,4514,3968,4005
2875,2658,2745,2838,3024,3165
1585,1286,1307,1441,1598,1554
2120,1913,1409,2063,2138,2085
1865,1846,1725,1727,1832,1866
9590,8020,10700,9082,9032,9258
10226,9773,8725,14040,10790,10610
