"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
8330,8513,11173,8194,9013,8698
5613,4179,5081,5025,4664,4740
6079,4271,5906,5421,6388,5751
8110,6114,7279,9103,7653,7636
4427,3959,3876,4363,4618,4281
6557,6337,6444,6515,6396,6692
3710,3668,3792,3559,3686,3768
10948,9772,11219,10046,10557,10382
6890,7142,7297,8015,7311,7135
3560,2419,3987,2864,3055,2907
1446,1180,1669,1713,1428,1357
1305,1051,834,962,1042,1054
3327,1686,2040,1941,2616,2403
2759,2854,2902,1924,3270,3163
3246,3220,3885,2905,3064,3123
6095,5459,5628,6069,6178,6060
2277,1379,5294,2526,2324,2030
4916,5654,4376,5613,5290,5290
3194,2838,2689,3095,3378,3225
2294,1681,3941,2393,2540,2452
1233,1196,1029,1077,1250,1188
3737,2998,4219,3578,3536,3448
1052,1018,519,847,1080,1099
975,1026,491,923,1129,1100
2249,3009,2457,2464,2275,2315
1857,1901,2513,1875,1992,2004
9093,8039,7418,8710,8014,8556
9205,11732,8354,10830,9350,9453
11406,11861,9828,11600,10755,10605
5866,6267,5081,7166,6424,6187
1897,1720,1094,1606,1810,1834
907,940,491,796,960,973
2624,2553,1790,2766,2951,2874
2156,1834,2596,2072,2154,1976
2097,2465,1929,2392,2694,2697
2998,2899,2587,3093,3716,3585
1997,1385,2160,1660,1580,1542
2843,2496,2865,2625,2793,2594
9154,8959,7112,7889,9140,9205
1469,1315,2096,1493,1755,1581
1042,978,992,1084,1177,1109
3288,3233,5869,3506,3637,3375
5560,5323,4441,5441,5599,5525
4807,3817,6055,4315,5088,4736
6881,7169,9087,6572,6788,6936
8819,9917,8540,8704,9718,9579
12540,15740,10589,11212,11760,11913
1255,1147,1669,1156,1238,1206
4946,4175,5749,4387,4533,4503
1944,2299,1771,1577,1908,2008
4637,4970,4061,4722,4763,4736
2112,2333,1678,1987,2365,2171
1235,972,983,1544,1366,1270
960,988,566,1054,1116,1061
5129,5237,5202,6233,5868,5905
4042,3954,6064,5718,4993,4783
4828,4445,4247,5774,5337,5354
2866,3218,3190,2793,2847,2801
1138,1225,1975,1088,1240,1200
2062,1867,2782,1529,2326,2384
11625,8344,10923,9460,10781,10675
10284,9747,7993,9510,10212,9871
4555,4099,4701,3783,4282,4130
4131,4464,6630,3783,4479,4337
8035,11703,6463,7343,8256,8870
8871,9043,7223,8827,8504,8858
3001,2150,3245,2555,2642,2657
1235,1151,1298,1070,1347,1263
979,945,1567,950,1009,944
1058,1116,872,1121,1151,1108
921,901,677,828,1062,965
3211,2080,2244,2928,2820,2729
5378,6528,6704,7027,6241,6184
5178,4590,5257,6105,5196,5167
1260,1278,2392,1094,1499,1331
985,1317,1029,1005,1177,1172
1634,1397,1632,1832,1718,1589
1129,1363,2337,1386,1604,1545
4862,5331,5081,4338,5823,5637
5663,7060,5331,5916,5957,6361
3375,3291,4043,3441,3514,3614
2647,4294,2244,2893,2745,3022
10544,12479,8215,9677,10567,10778
6818,8164,5313,7496,7255,7324
3146,1184,1298,1377,1469,1303
3250,2166,1854,2383,2256,2047
3264,2486,2930,3206,3268,3112
7345,12492,5693,8649,8307,9166
8263,9630,7047,8073,8084,8091
4128,3163,3829,3185,3698,3500
4454,5297,2976,3156,3594,4349
11736,11643,9995,11700,11380,11804
1506,1470,1892,1518,1627,1634
1532,1391,964,1484,1466,1541
829,1075,807,909,1032,963
920,906,593,839,884,943
1558,1563,1344,1959,2160,2063
1779,1684,1771,1445,1885,1872
1500,1042,853,1131,1182,1205
1426,1186,1122,1403,1531,1555
1497,1453,1298,1398,1478,1645
6494,6309,4414,5973,6642,6699
10271,10510,8975,9479,9676,9639
4951,5532,4191,5399,5291,5266
6864,7393,7269,7855,6793,7188
3628,3619,4534,3522,3629,3693
3246,4569,3987,3189,3625,3775
6971,6949,7260,7393,6910,6556
6089,5519,5990,5867,6351,6315
1086,996,1419,1059,1093,1090
1821,1446,1372,1416,1608,1600
6897,7573,6342,8021,7352,7296
1944,2333,2077,1498,2011,1991
1223,1171,2188,1351,1432,1448
1248,1935,1029,1120,1488,1640
1742,2096,1892,1728,2156,2150
2855,2551,2198,2141,2738,2600
4997,5376,5600,4950,5745,6100
4203,4031,4451,4123,4706,4414
7386,9131,6426,8380,8832,8627
1312,1509,1122,1408,1577,1672
987,968,510,855,1030,1011
1425,1818,1140,1439,1540,1619
2485,1995,2902,2842,2320,2105
1370,1388,1530,1366,1601,1567
9112,10665,8642,8986,9316,9528
3270,3641,3134,3729,3330,3287
1757,1375,1372,1830,1791,1555
1899,1734,2429,1834,2159,1969
4184,5752,4488,5656,4894,4708
3056,2838,3255,3474,3238,3162
1320,1245,1020,1297,1211,1277
2332,1959,1085,2281,2201,2177
2524,1870,1697,2381,2191,2229
1358,1116,1224,1428,1379,1273
1029,1005,881,1300,1015,1031
925,979,705,1039,930,939
1330,1234,1187,1207,1453,1445
1223,1081,853,1223,1147,1143
1715,1624,1511,1614,1607,1670
1080,893,640,897,962,942
1537,1040,853,1177,1230,1152
3650,4045,2735,3567,3127,3446
2713,2266,3792,2439,2655,2605
3133,2722,2429,3420,2865,2804
3293,4109,2485,3213,2990,3158
1966,1925,1511,2239,2071,2035
4703,4174,4451,4628,4678,4822
1364,1152,1020,1230,1385,1408
1294,1022,1975,1129,1189,1191
860,986,742,1035,986,1007
4133,4291,4126,4620,4240,4246
4839,3515,4033,4718,4336,4321
5121,3881,3357,4197,3897,3788
5970,5421,4859,7086,6151,6128
3803,3658,1808,2798,3528,3608
2759,3073,4089,3483,2970,3070
2671,2785,4172,3023,2822,2635
1153,1143,927,980,1034,1066
2017,1887,3088,2321,2161,2169
2459,1867,2800,2716,2396,2319
1430,1234,1252,1205,1325,1413
2695,3656,1335,2235,2645,3075
8142,11184,9383,8581,9447,9726
4814,6076,4135,5142,4570,4834
4030,2358,5137,4230,3436,3382
4005,5112,3561,3635,4111,4540
7504,6937,7038,7554,7839,7493
3669,3307,3153,4277,4463,3842
2486,2270,3245,2524,2646,2656
2212,2197,2976,2850,2489,2445
4744,3108,5433,3362,4478,4074
4961,6074,4627,4482,5380,5843
2956,2487,4284,3256,2928,2918
1777,1813,3180,2127,1810,1821
2469,1756,1428,2124,2096,2058
3122,4177,5916,3137,3175,3309
2546,1669,2374,2782,2100,2161
2427,1791,2411,2062,2379,2328
1245,1069,779,1100,1173,1197
1338,1932,714,1633,1418,1526
2100,2277,1929,2100,2131,2165
1793,1290,2244,1459,1549,1540
1198,1376,2772,1379,1321,1370
3604,3934,3236,3709,3691,3547
8025,7985,6138,7451,7397,7883
6425,5802,3635,4930,5261,5505
1070,1797,1011,1287,1313,1495
1082,1150,797,1273,1128,1208
934,920,807,841,918,950
2248,2278,1929,2604,2667,2560
4003,4866,4321,3808,4110,4007
4605,3757,3848,4682,4299,4164
4708,6233,3190,4925,5002,5121
5890,5235,4636,5175,5612,6022
6684,8479,6435,7372,6703,6767
6488,8399,5999,6679,6444,6625
4533,3986,3607,3780,4176,4245
6405,7942,4757,5258,5994,6445
3420,2321,4080,2602,3029,2609
3704,3269,4571,2771,4092,4055
2807,2394,2893,2409,2664,2635
8137,9516,5823,7457,7779,8017
3290,3005,2884,3087,3476,3545
964,1020,1094,971,1114,1096
1959,1722,1558,1784,2029,1950
